Councils,Type,Months,Years,ESB_Connections
Monaghan,County,Jun,2008,69
North Tipperary,County,Jun,2008,81
Offaly,County,Jun,2008,41
Roscommon,County,Jun,2008,92
Sligo,County,Jun,2008,82
South Dublin,County,Jun,2008,144
South Tipperary,County,Jun,2008,88
Waterford,County,Jun,2008,73
Westmeath,County,Jun,2008,53
Wexford,County,Jun,2008,123
Wicklow,County,Jun,2008,83
Carlow,County,Jul,2008,43
Cavan,County,Jul,2008,129
Clare,County,Jul,2008,149
Cork,County,Jul,2008,413
Donegal,County,Jul,2008,172
Dun Laoghaire,County,Jul,2008,168
Fingal,County,Jul,2008,131
Galway,County,Jul,2008,155
Kerry,County,Jul,2008,177
Kildare,County,Jul,2008,207
Kilkenny,County,Jul,2008,87
Laois,County,Jul,2008,79
Leitrim,County,Jul,2008,63
Limerick,County,Jul,2008,102
Longford,County,Jul,2008,39
Louth,County,Jul,2008,157
Mayo,County,Jul,2008,158
Meath,County,Jul,2008,193
Monaghan,County,Jul,2008,41
North Tipperary,County,Jul,2008,133
Offaly,County,Jul,2008,63
Roscommon,County,Jul,2008,89
Sligo,County,Jul,2008,86
South Dublin,County,Jul,2008,73
South Tipperary,County,Jul,2008,103
Waterford,County,Jul,2008,68
Westmeath,County,Jul,2008,77
Wexford,County,Jul,2008,242
Wicklow,County,Jul,2008,88
Carlow,County,Aug,2008,71
Cavan,County,Aug,2008,67
Clare,County,Aug,2008,81
Cork,County,Aug,2008,488
Donegal,County,Aug,2008,132
Dun Laoghaire,County,Aug,2008,168
Fingal,County,Aug,2008,153
Galway,County,Aug,2008,218
Kerry,County,Aug,2008,133
Kildare,County,Aug,2008,123
Kilkenny,County,Aug,2008,76
Laois,County,Aug,2008,80
Leitrim,County,Aug,2008,53
Limerick,County,Aug,2008,132
Longford,County,Aug,2008,31
Louth,County,Aug,2008,87
Mayo,County,Aug,2008,92
Meath,County,Aug,2008,112
Monaghan,County,Aug,2008,44
North Tipperary,County,Aug,2008,43
Offaly,County,Aug,2008,65
Roscommon,County,Aug,2008,71
Sligo,County,Aug,2008,43
South Dublin,County,Aug,2008,70
South Tipperary,County,Aug,2008,42
Waterford,County,Aug,2008,50
Westmeath,County,Aug,2008,62
Wexford,County,Aug,2008,164
Wicklow,County,Aug,2008,110
Carlow,County,Sept,2008,33
Cavan,County,Sept,2008,90
Clare,County,Sept,2008,155
Cork,County,Sept,2008,392
Donegal,County,Sept,2008,272
Dun Laoghaire,County,Sept,2008,115
Fingal,County,Sept,2008,190
Galway,County,Sept,2008,278
Kerry,County,Sept,2008,260
Kildare,County,Sept,2008,133
Kilkenny,County,Sept,2008,70
Laois,County,Sept,2008,67
Leitrim,County,Sept,2008,50
Limerick,County,Sept,2008,126
Longford,County,Sept,2008,37
Louth,County,Sept,2008,58
Mayo,County,Sept,2008,137
Meath,County,Sept,2008,143
Monaghan,County,Sept,2008,45
North Tipperary,County,Sept,2008,51
Offaly,County,Sept,2008,74
Roscommon,County,Sept,2008,59
Sligo,County,Sept,2008,103
South Dublin,County,Sept,2008,114
South Tipperary,County,Sept,2008,82
Waterford,County,Sept,2008,45
Westmeath,County,Sept,2008,100
Wexford,County,Sept,2008,127
Wicklow,County,Sept,2008,68
Carlow,County,Oct,2008,49
Cavan,County,Oct,2008,62
Clare,County,Oct,2008,102
Cork,County,Oct,2008,393
Donegal,County,Oct,2008,195
Dun Laoghaire,County,Oct,2008,127
Fingal,County,Oct,2008,274
Galway,County,Oct,2008,165
Kerry,County,Oct,2008,223
Kildare,County,Oct,2008,161
Kilkenny,County,Oct,2008,64
Laois,County,Oct,2008,74
Leitrim,County,Oct,2008,47
Limerick,County,Oct,2008,134
Longford,County,Oct,2008,45
Louth,County,Oct,2008,143
Mayo,County,Oct,2008,160
Meath,County,Oct,2008,118
Monaghan,County,Oct,2008,33
North Tipperary,County,Oct,2008,73
Offaly,County,Oct,2008,50
Roscommon,County,Oct,2008,73
Sligo,County,Oct,2008,75
South Dublin,County,Oct,2008,157
South Tipperary,County,Oct,2008,57
Waterford,County,Oct,2008,45
Westmeath,County,Oct,2008,76
Wexford,County,Oct,2008,119
Wicklow,County,Oct,2008,56
Carlow,County,Nov,2008,72
Cavan,County,Nov,2008,86
Clare,County,Nov,2008,144
Cork,County,Nov,2008,435
Donegal,County,Nov,2008,200
Dun Laoghaire,County,Nov,2008,76
Fingal,County,Nov,2008,187
Galway,County,Nov,2008,209
Kerry,County,Nov,2008,144
Kildare,County,Nov,2008,112
Kilkenny,County,Nov,2008,112
Laois,County,Nov,2008,61
Leitrim,County,Nov,2008,40
Limerick,County,Nov,2008,127
Longford,County,Nov,2008,55
Louth,County,Nov,2008,187
Mayo,County,Nov,2008,132
Meath,County,Nov,2008,164
Monaghan,County,Nov,2008,51
North Tipperary,County,Nov,2008,118
Offaly,County,Nov,2008,52
Roscommon,County,Nov,2008,74
Sligo,County,Nov,2008,66
South Dublin,County,Nov,2008,115
South Tipperary,County,Nov,2008,72
Waterford,County,Nov,2008,109
Westmeath,County,Nov,2008,76
Wexford,County,Nov,2008,154
Wicklow,County,Nov,2008,127
Carlow,County,Dec,2008,40
Cavan,County,Dec,2008,74
Clare,County,Dec,2008,96
Cork,County,Dec,2008,335
Donegal,County,Dec,2008,202
Dun Laoghaire,County,Dec,2008,100
Fingal,County,Dec,2008,213
Galway,County,Dec,2008,228
Kerry,County,Dec,2008,134
Kildare,County,Dec,2008,158
Kilkenny,County,Dec,2008,97
Laois,County,Dec,2008,88
Leitrim,County,Dec,2008,28
Limerick,County,Dec,2008,119
Longford,County,Dec,2008,28
Louth,County,Dec,2008,155
Mayo,County,Dec,2008,154
Meath,County,Dec,2008,111
Monaghan,County,Dec,2008,59
North Tipperary,County,Dec,2008,83
Offaly,County,Dec,2008,51
Roscommon,County,Dec,2008,68
Sligo,County,Dec,2008,20
South Dublin,County,Dec,2008,91
South Tipperary,County,Dec,2008,56
Waterford,County,Dec,2008,50
Westmeath,County,Dec,2008,106
Wexford,County,Dec,2008,147
Wicklow,County,Dec,2008,94
Carlow,County,Jan,2009,19
Cavan,County,Jan,2009,65
Clare,County,Jan,2009,95
Cork,County,Jan,2009,199
Donegal,County,Jan,2009,126
Dun Laoghaire,County,Jan,2009,253
Fingal,County,Jan,2009,111
Galway,County,Jan,2009,121
Kerry,County,Jan,2009,49
Kildare,County,Jan,2009,74
Kilkenny,County,Jan,2009,47
Laois,County,Jan,2009,55
Leitrim,County,Jan,2009,66
Limerick,County,Jan,2009,50
Longford,County,Jan,2009,72
Louth,County,Jan,2009,109
Mayo,County,Jan,2009,121
Meath,County,Jan,2009,101
Monaghan,County,Jan,2009,30
North Tipperary,County,Jan,2009,41
Offaly,County,Jan,2009,38
Roscommon,County,Jan,2009,63
Sligo,County,Jan,2009,47
South Dublin,County,Jan,2009,48
South Tipperary,County,Jan,2009,32
Waterford,County,Jan,2009,46
Westmeath,County,Jan,2009,64
Wexford,County,Jan,2009,98
Wicklow,County,Jan,2009,91
Carlow,County,Feb,2009,36
Cavan,County,Feb,2009,45
Clare,County,Feb,2009,82
Cork,County,Feb,2009,282
Donegal,County,Feb,2009,186
Dun Laoghaire,County,Feb,2009,102
Fingal,County,Feb,2009,147
Galway,County,Feb,2009,130
Kerry,County,Feb,2009,63
Kildare,County,Feb,2009,61
Kilkenny,County,Feb,2009,53
Laois,County,Feb,2009,53
Leitrim,County,Feb,2009,25
Limerick,County,Feb,2009,88
Longford,County,Feb,2009,53
Louth,County,Feb,2009,43
Mayo,County,Feb,2009,107
Meath,County,Feb,2009,134
Monaghan,County,Feb,2009,30
North Tipperary,County,Feb,2009,47
Offaly,County,Feb,2009,29
Roscommon,County,Feb,2009,44
Sligo,County,Feb,2009,47
South Dublin,County,Feb,2009,40
South Tipperary,County,Feb,2009,33
Waterford,County,Feb,2009,42
Westmeath,County,Feb,2009,23
Wexford,County,Feb,2009,75
Wicklow,County,Feb,2009,46
Carlow,County,Mar,2009,50
Cavan,County,Mar,2009,38
Clare,County,Mar,2009,99
Cork,County,Mar,2009,241
Donegal,County,Mar,2009,132
Dun Laoghaire,County,Mar,2009,55
Fingal,County,Mar,2009,128
Galway,County,Mar,2009,99
Kerry,County,Mar,2009,100
Kildare,County,Mar,2009,92
Kilkenny,County,Mar,2009,39
Laois,County,Mar,2009,48
Leitrim,County,Mar,2009,42
Limerick,County,Mar,2009,102
Longford,County,Mar,2009,37
Louth,County,Mar,2009,51
Mayo,County,Mar,2009,71
Meath,County,Mar,2009,77
Monaghan,County,Mar,2009,19
North Tipperary,County,Mar,2009,40
Offaly,County,Mar,2009,49
Roscommon,County,Mar,2009,54
Sligo,County,Mar,2009,46
South Dublin,County,Mar,2009,42
South Tipperary,County,Mar,2009,37
Waterford,County,Mar,2009,51
Westmeath,County,Mar,2009,82
Wexford,County,Mar,2009,98
Wicklow,County,Mar,2009,91
Carlow,County,Apr,2009,45
Cavan,County,Apr,2009,38
Clare,County,Apr,2009,53
Cork,County,Apr,2009,215
Donegal,County,Apr,2009,122
Dun Laoghaire,County,Apr,2009,77
Fingal,County,Apr,2009,91
Galway,County,Apr,2009,135
Kerry,County,Apr,2009,70
Kildare,County,Apr,2009,113
Kilkenny,County,Apr,2009,43
Laois,County,Apr,2009,48
Leitrim,County,Apr,2009,22
Limerick,County,Apr,2009,50
Longford,County,Apr,2009,106
Louth,County,Apr,2009,55
Mayo,County,Apr,2009,79
Meath,County,Apr,2009,70
Monaghan,County,Apr,2009,46
North Tipperary,County,Apr,2009,37
Offaly,County,Apr,2009,31
Roscommon,County,Apr,2009,56
Sligo,County,Apr,2009,63
South Dublin,County,Apr,2009,70
South Tipperary,County,Apr,2009,46
Waterford,County,Apr,2009,62
Westmeath,County,Apr,2009,38
Wexford,County,Apr,2009,86
Wicklow,County,Apr,2009,48
Carlow,County,May,2009,31
Cavan,County,May,2009,44
Clare,County,May,2009,54
Cork,County,May,2009,257
Donegal,County,May,2009,143
Dun Laoghaire,County,May,2009,53
Fingal,County,May,2009,89
Galway,County,May,2009,99
Kerry,County,May,2009,66
Kildare,County,May,2009,117
Kilkenny,County,May,2009,40
Laois,County,May,2009,47
Leitrim,County,May,2009,20
Limerick,County,May,2009,84
Longford,County,May,2009,28
Louth,County,May,2009,92
Mayo,County,May,2009,96
Meath,County,May,2009,93
Monaghan,County,May,2009,39
North Tipperary,County,May,2009,40
Offaly,County,May,2009,26
Roscommon,County,May,2009,31
Sligo,County,May,2009,44
South Dublin,County,May,2009,32
South Tipperary,County,May,2009,20
Waterford,County,May,2009,36
Westmeath,County,May,2009,26
Wexford,County,May,2009,85
Wicklow,County,May,2009,47
Carlow,County,Jun,2009,55
Cavan,County,Jun,2009,39
Clare,County,Jun,2009,43
Cork,County,Jun,2009,240
Donegal,County,Jun,2009,146
Dun Laoghaire,County,Jun,2009,40
Fingal,County,Jun,2009,113
Galway,County,Jun,2009,81
Kerry,County,Jun,2009,70
Kildare,County,Jun,2009,85
Kilkenny,County,Jun,2009,32
Laois,County,Jun,2009,49
Leitrim,County,Jun,2009,19
Limerick,County,Jun,2009,41
Longford,County,Jun,2009,12
Louth,County,Jun,2009,67
Mayo,County,Jun,2009,74
Meath,County,Jun,2009,70
Monaghan,County,Jun,2009,33
North Tipperary,County,Jun,2009,52
Offaly,County,Jun,2009,32
Roscommon,County,Jun,2009,45
Sligo,County,Jun,2009,47
South Dublin,County,Jun,2009,96
South Tipperary,County,Jun,2009,46
Waterford,County,Jun,2009,36
Westmeath,County,Jun,2009,34
Wexford,County,Jun,2009,118
Wicklow,County,Jun,2009,60
Carlow,County,Jul,2009,26
Cavan,County,Jul,2009,42
Clare,County,Jul,2009,77
Cork,County,Jul,2009,232
Donegal,County,Jul,2009,150
Dun Laoghaire,County,Jul,2009,40
Fingal,County,Jul,2009,186
Galway,County,Jul,2009,114
Kerry,County,Jul,2009,117
Kildare,County,Jul,2009,54
Kilkenny,County,Jul,2009,47
Laois,County,Jul,2009,42
Leitrim,County,Jul,2009,32
Limerick,County,Jul,2009,47
Longford,County,Jul,2009,11
Louth,County,Jul,2009,66
Mayo,County,Jul,2009,79
Meath,County,Jul,2009,87
Monaghan,County,Jul,2009,39
North Tipperary,County,Jul,2009,51
Offaly,County,Jul,2009,28
Roscommon,County,Jul,2009,24
Sligo,County,Jul,2009,55
South Dublin,County,Jul,2009,108
South Tipperary,County,Jul,2009,47
Waterford,County,Jul,2009,42
Westmeath,County,Jul,2009,33
Wexford,County,Jul,2009,74
Wicklow,County,Jul,2009,75
Carlow,County,Aug,2009,20
Cavan,County,Aug,2009,37
Clare,County,Aug,2009,43
Cork,County,Aug,2009,154
Donegal,County,Aug,2009,91
Dun Laoghaire,County,Aug,2009,13
Fingal,County,Aug,2009,68
Galway,County,Aug,2009,76
Kerry,County,Aug,2009,53
Kildare,County,Aug,2009,72
Kilkenny,County,Aug,2009,27
Laois,County,Aug,2009,29
Leitrim,County,Aug,2009,18
Limerick,County,Aug,2009,42
Longford,County,Aug,2009,14
Louth,County,Aug,2009,33
Mayo,County,Aug,2009,89
Meath,County,Aug,2009,76
Monaghan,County,Aug,2009,31
North Tipperary,County,Aug,2009,26
Offaly,County,Aug,2009,34
Roscommon,County,Aug,2009,23
Sligo,County,Aug,2009,17
South Dublin,County,Aug,2009,27
South Tipperary,County,Aug,2009,17
Waterford,County,Aug,2009,40
Westmeath,County,Aug,2009,35
Wexford,County,Aug,2009,64
Wicklow,County,Aug,2009,46
Carlow,County,Sept,2009,29
Cavan,County,Sept,2009,63
Clare,County,Sept,2009,43
Cork,County,Sept,2009,197
Donegal,County,Sept,2009,159
Dun Laoghaire,County,Sept,2009,80
Fingal,County,Sept,2009,104
Galway,County,Sept,2009,99
Kerry,County,Sept,2009,61
Kildare,County,Sept,2009,87
Kilkenny,County,Sept,2009,38
Laois,County,Sept,2009,19
Leitrim,County,Sept,2009,20
Limerick,County,Sept,2009,43
Longford,County,Sept,2009,19
Louth,County,Sept,2009,60
Mayo,County,Sept,2009,99
Meath,County,Sept,2009,123
Monaghan,County,Sept,2009,41
North Tipperary,County,Sept,2009,29
Offaly,County,Sept,2009,32
Roscommon,County,Sept,2009,30
Sligo,County,Sept,2009,41
South Dublin,County,Sept,2009,48
South Tipperary,County,Sept,2009,43
Waterford,County,Sept,2009,36
Westmeath,County,Sept,2009,51
Wexford,County,Sept,2009,96
Wicklow,County,Sept,2009,42
Carlow,County,Oct,2009,53
Cavan,County,Oct,2009,58
Clare,County,Oct,2009,53
Cork,County,Oct,2009,166
Donegal,County,Oct,2009,100
Dun Laoghaire,County,Oct,2009,80
Fingal,County,Oct,2009,99
Galway,County,Oct,2009,93
Kerry,County,Oct,2009,55
Kildare,County,Oct,2009,92
Kilkenny,County,Oct,2009,33
Laois,County,Oct,2009,34
Leitrim,County,Oct,2009,20
Limerick,County,Oct,2009,49
Longford,County,Oct,2009,31
Louth,County,Oct,2009,34
Mayo,County,Oct,2009,85
Meath,County,Oct,2009,79
Monaghan,County,Oct,2009,42
North Tipperary,County,Oct,2009,75
Offaly,County,Oct,2009,29
Roscommon,County,Oct,2009,36
Sligo,County,Oct,2009,42
South Dublin,County,Oct,2009,52
South Tipperary,County,Oct,2009,28
Waterford,County,Oct,2009,28
Westmeath,County,Oct,2009,27
Wexford,County,Oct,2009,66
Wicklow,County,Oct,2009,60
Carlow,County,Nov,2009,35
Cavan,County,Nov,2009,30
Clare,County,Nov,2009,67
Cork,County,Nov,2009,252
Donegal,County,Nov,2009,156
Dun Laoghaire,County,Nov,2009,100
Fingal,County,Nov,2009,82
Galway,County,Nov,2009,127
Kerry,County,Nov,2009,63
Kildare,County,Nov,2009,76
Kilkenny,County,Nov,2009,35
Laois,County,Nov,2009,53
Leitrim,County,Nov,2009,7
Limerick,County,Nov,2009,61
Longford,County,Nov,2009,44
Louth,County,Nov,2009,77
Mayo,County,Nov,2009,54
Meath,County,Nov,2009,67
Monaghan,County,Nov,2009,28
North Tipperary,County,Nov,2009,68
Offaly,County,Nov,2009,24
Roscommon,County,Nov,2009,36
Sligo,County,Nov,2009,21
South Dublin,County,Nov,2009,31
South Tipperary,County,Nov,2009,29
Waterford,County,Nov,2009,39
Westmeath,County,Nov,2009,58
Wexford,County,Nov,2009,78
Wicklow,County,Nov,2009,46
Carlow,County,Dec,2009,24
Cavan,County,Dec,2009,62
Clare,County,Dec,2009,56
Cork,County,Dec,2009,206
Donegal,County,Dec,2009,178
Dun Laoghaire,County,Dec,2009,59
Fingal,County,Dec,2009,91
Galway,County,Dec,2009,99
Kerry,County,Dec,2009,99
Kildare,County,Dec,2009,83
Kilkenny,County,Dec,2009,38
Laois,County,Dec,2009,46
Leitrim,County,Dec,2009,12
Limerick,County,Dec,2009,56
Longford,County,Dec,2009,18
Louth,County,Dec,2009,76
Mayo,County,Dec,2009,78
Meath,County,Dec,2009,85
Monaghan,County,Dec,2009,39
North Tipperary,County,Dec,2009,92
Offaly,County,Dec,2009,32
Roscommon,County,Dec,2009,23
Sligo,County,Dec,2009,14
South Dublin,County,Dec,2009,38
South Tipperary,County,Dec,2009,46
Waterford,County,Dec,2009,31
Westmeath,County,Dec,2009,35
Wexford,County,Dec,2009,86
Wicklow,County,Dec,2009,48
Carlow,County,Jan,2010,16
Cavan,County,Jan,2010,19
Clare,County,Jan,2010,21
Cork,County,Jan,2010,93
Donegal,County,Jan,2010,57
Dun Laoghaire,County,Jan,2010,51
Fingal,County,Jan,2010,75
Galway,County,Jan,2010,56
Kerry,County,Jan,2010,23
Kildare,County,Jan,2010,44
Kilkenny,County,Jan,2010,25
Laois,County,Jan,2010,17
Leitrim,County,Jan,2010,6
Limerick,County,Jan,2010,31
Longford,County,Jan,2010,10
Louth,County,Jan,2010,98
Mayo,County,Jan,2010,43
Meath,County,Jan,2010,36
Monaghan,County,Jan,2010,14
North Tipperary,County,Jan,2010,22
Offaly,County,Jan,2010,17
Roscommon,County,Jan,2010,30
Sligo,County,Jan,2010,33
South Dublin,County,Jan,2010,29
South Tipperary,County,Jan,2010,21
Waterford,County,Jan,2010,73
Westmeath,County,Jan,2010,20
Wexford,County,Jan,2010,39
Wicklow,County,Jan,2010,40
Carlow,County,Feb,2010,13
Cavan,County,Feb,2010,33
Clare,County,Feb,2010,49
Cork,County,Feb,2010,128
Donegal,County,Feb,2010,64
Dun Laoghaire,County,Feb,2010,29
Fingal,County,Feb,2010,36
Galway,County,Feb,2010,102
Kerry,County,Feb,2010,47
Kildare,County,Feb,2010,63
Kilkenny,County,Feb,2010,22
Laois,County,Feb,2010,20
Leitrim,County,Feb,2010,23
Limerick,County,Feb,2010,35
Longford,County,Feb,2010,16
Louth,County,Feb,2010,31
Mayo,County,Feb,2010,42
Meath,County,Feb,2010,54
Monaghan,County,Feb,2010,16
North Tipperary,County,Feb,2010,24
Offaly,County,Feb,2010,13
Roscommon,County,Feb,2010,44
Sligo,County,Feb,2010,20
South Dublin,County,Feb,2010,30
South Tipperary,County,Feb,2010,33
Waterford,County,Feb,2010,22
Westmeath,County,Feb,2010,25
Wexford,County,Feb,2010,66
Wicklow,County,Feb,2010,25
Carlow,County,Mar,2010,12
Cavan,County,Mar,2010,26
Clare,County,Mar,2010,57
Cork,County,Mar,2010,209
Donegal,County,Mar,2010,91
Dun Laoghaire,County,Mar,2010,12
Fingal,County,Mar,2010,67
Galway,County,Mar,2010,67
Kerry,County,Mar,2010,53
Kildare,County,Mar,2010,40
Kilkenny,County,Mar,2010,34
Laois,County,Mar,2010,21
Leitrim,County,Mar,2010,16
Limerick,County,Mar,2010,46
Longford,County,Mar,2010,13
Louth,County,Mar,2010,19
Mayo,County,Mar,2010,60
Meath,County,Mar,2010,45
Monaghan,County,Mar,2010,15
North Tipperary,County,Mar,2010,41
Offaly,County,Mar,2010,15
Roscommon,County,Mar,2010,22
Sligo,County,Mar,2010,17
South Dublin,County,Mar,2010,42
South Tipperary,County,Mar,2010,21
Waterford,County,Mar,2010,22
Westmeath,County,Mar,2010,20
Wexford,County,Mar,2010,62
Wicklow,County,Mar,2010,37
Carlow,County,Apr,2010,18
Cavan,County,Apr,2010,20
Clare,County,Apr,2010,117
Cork,County,Apr,2010,145
Donegal,County,Apr,2010,60
Dun Laoghaire,County,Apr,2010,24
Fingal,County,Apr,2010,20
Galway,County,Apr,2010,70
Kerry,County,Apr,2010,62
Kildare,County,Apr,2010,41
Kilkenny,County,Apr,2010,28
Laois,County,Apr,2010,19
Leitrim,County,Apr,2010,11
Limerick,County,Apr,2010,33
Longford,County,Apr,2010,8
Louth,County,Apr,2010,30
Mayo,County,Apr,2010,47
Meath,County,Apr,2010,45
Monaghan,County,Apr,2010,27
North Tipperary,County,Apr,2010,28
Offaly,County,Apr,2010,22
Roscommon,County,Apr,2010,32
Sligo,County,Apr,2010,14
South Dublin,County,Apr,2010,7
South Tipperary,County,Apr,2010,15
Waterford,County,Apr,2010,29
Westmeath,County,Apr,2010,26
Wexford,County,Apr,2010,48
Wicklow,County,Apr,2010,44
Carlow,County,May,2010,17
Cavan,County,May,2010,28
Clare,County,May,2010,100
Cork,County,May,2010,162
Donegal,County,May,2010,59
Dun Laoghaire,County,May,2010,18
Fingal,County,May,2010,41
Galway,County,May,2010,59
Kerry,County,May,2010,62
Kildare,County,May,2010,51
Kilkenny,County,May,2010,32
Laois,County,May,2010,9
Leitrim,County,May,2010,17
Limerick,County,May,2010,30
Longford,County,May,2010,6
Louth,County,May,2010,35
Mayo,County,May,2010,50
Meath,County,May,2010,41
Monaghan,County,May,2010,19
North Tipperary,County,May,2010,13
Offaly,County,May,2010,16
Roscommon,County,May,2010,17
Sligo,County,May,2010,11
South Dublin,County,May,2010,20
South Tipperary,County,May,2010,17
Waterford,County,May,2010,27
Westmeath,County,May,2010,32
Wexford,County,May,2010,64
Wicklow,County,May,2010,27
Carlow,County,Jun,2010,8
Cavan,County,Jun,2010,36
Clare,County,Jun,2010,34
Cork,County,Jun,2010,119
Donegal,County,Jun,2010,54
Dun Laoghaire,County,Jun,2010,15
Fingal,County,Jun,2010,28
Galway,County,Jun,2010,56
Kerry,County,Jun,2010,70
Kildare,County,Jun,2010,46
Kilkenny,County,Jun,2010,43
Laois,County,Jun,2010,12
Leitrim,County,Jun,2010,13
Limerick,County,Jun,2010,35
Longford,County,Jun,2010,3
Louth,County,Jun,2010,31
Mayo,County,Jun,2010,57
Meath,County,Jun,2010,31
Monaghan,County,Jun,2010,20
North Tipperary,County,Jun,2010,24
Offaly,County,Jun,2010,18
Roscommon,County,Jun,2010,16
Sligo,County,Jun,2010,9
South Dublin,County,Jun,2010,23
South Tipperary,County,Jun,2010,19
Waterford,County,Jun,2010,19
Westmeath,County,Jun,2010,24
Wexford,County,Jun,2010,46
Wicklow,County,Jun,2010,40
Carlow,County,Jul,2010,9
Cavan,County,Jul,2010,14
Clare,County,Jul,2010,31
Cork,County,Jul,2010,179
Donegal,County,Jul,2010,70
Dun Laoghaire,County,Jul,2010,13
Fingal,County,Jul,2010,28
Galway,County,Jul,2010,57
Kerry,County,Jul,2010,44
Kildare,County,Jul,2010,56
Kilkenny,County,Jul,2010,39
Laois,County,Jul,2010,24
Leitrim,County,Jul,2010,11
Limerick,County,Jul,2010,33
Longford,County,Jul,2010,8
Louth,County,Jul,2010,22
Mayo,County,Jul,2010,45
Meath,County,Jul,2010,57
Monaghan,County,Jul,2010,13
North Tipperary,County,Jul,2010,33
Offaly,County,Jul,2010,29
Roscommon,County,Jul,2010,42
Sligo,County,Jul,2010,20
South Dublin,County,Jul,2010,66
South Tipperary,County,Jul,2010,27
Waterford,County,Jul,2010,26
Westmeath,County,Jul,2010,24
Wexford,County,Jul,2010,66
Wicklow,County,Jul,2010,40
Carlow,County,Aug,2010,13
Cavan,County,Aug,2010,11
Clare,County,Aug,2010,40
Cork,County,Aug,2010,135
Donegal,County,Aug,2010,48
Dun Laoghaire,County,Aug,2010,38
Fingal,County,Aug,2010,49
Galway,County,Aug,2010,54
Kerry,County,Aug,2010,31
Kildare,County,Aug,2010,60
Kilkenny,County,Aug,2010,23
Laois,County,Aug,2010,30
Leitrim,County,Aug,2010,8
Limerick,County,Aug,2010,40
Longford,County,Aug,2010,13
Louth,County,Aug,2010,22
Mayo,County,Aug,2010,47
Meath,County,Aug,2010,67
Monaghan,County,Aug,2010,16
North Tipperary,County,Aug,2010,18
Offaly,County,Aug,2010,24
Roscommon,County,Aug,2010,26
Sligo,County,Aug,2010,29
South Dublin,County,Aug,2010,35
South Tipperary,County,Aug,2010,19
Waterford,County,Aug,2010,33
Westmeath,County,Aug,2010,19
Wexford,County,Aug,2010,93
Wicklow,County,Aug,2010,22
Carlow,County,Sept,2010,18
Cavan,County,Sept,2010,24
Clare,County,Sept,2010,29
Cork,County,Sept,2010,140
Donegal,County,Sept,2010,70
Dun Laoghaire,County,Sept,2010,83
Fingal,County,Sept,2010,40
Galway,County,Sept,2010,75
Kerry,County,Sept,2010,44
Kildare,County,Sept,2010,76
Kilkenny,County,Sept,2010,22
Laois,County,Sept,2010,14
Leitrim,County,Sept,2010,11
Limerick,County,Sept,2010,28
Longford,County,Sept,2010,18
Louth,County,Sept,2010,22
Mayo,County,Sept,2010,65
Meath,County,Sept,2010,81
Monaghan,County,Sept,2010,13
North Tipperary,County,Sept,2010,29
Offaly,County,Sept,2010,28
Roscommon,County,Sept,2010,34
Sligo,County,Sept,2010,31
South Dublin,County,Sept,2010,16
South Tipperary,County,Sept,2010,22
Waterford,County,Sept,2010,23
Westmeath,County,Sept,2010,17
Wexford,County,Sept,2010,43
Wicklow,County,Sept,2010,40
Carlow,County,Oct,2010,29
Cavan,County,Oct,2010,19
Clare,County,Oct,2010,32
Cork,County,Oct,2010,94
Donegal,County,Oct,2010,52
Dun Laoghaire,County,Oct,2010,76
Fingal,County,Oct,2010,65
Galway,County,Oct,2010,64
Kerry,County,Oct,2010,39
Kildare,County,Oct,2010,43
Kilkenny,County,Oct,2010,27
Laois,County,Oct,2010,14
Leitrim,County,Oct,2010,12
Limerick,County,Oct,2010,59
Longford,County,Oct,2010,11
Louth,County,Oct,2010,38
Mayo,County,Oct,2010,61
Meath,County,Oct,2010,37
Monaghan,County,Oct,2010,15
North Tipperary,County,Oct,2010,22
Offaly,County,Oct,2010,26
Roscommon,County,Oct,2010,16
Sligo,County,Oct,2010,16
South Dublin,County,Oct,2010,17
South Tipperary,County,Oct,2010,45
Waterford,County,Oct,2010,15
Westmeath,County,Oct,2010,56
Wexford,County,Oct,2010,44
Wicklow,County,Oct,2010,31
Carlow,County,Nov,2010,50
Cavan,County,Nov,2010,41
Clare,County,Nov,2010,40
Cork,County,Nov,2010,177
Donegal,County,Nov,2010,105
Dun Laoghaire,County,Nov,2010,10
Fingal,County,Nov,2010,58
Galway,County,Nov,2010,82
Kerry,County,Nov,2010,33
Kildare,County,Nov,2010,54
Kilkenny,County,Nov,2010,30
Laois,County,Nov,2010,33
Leitrim,County,Nov,2010,11
Limerick,County,Nov,2010,36
Longford,County,Nov,2010,31
Louth,County,Nov,2010,30
Mayo,County,Nov,2010,58
Meath,County,Nov,2010,66
Monaghan,County,Nov,2010,21
North Tipperary,County,Nov,2010,25
Offaly,County,Nov,2010,21
Roscommon,County,Nov,2010,22
Sligo,County,Nov,2010,12
South Dublin,County,Nov,2010,80
South Tipperary,County,Nov,2010,22
Waterford,County,Nov,2010,23
Westmeath,County,Nov,2010,45
Wexford,County,Nov,2010,55
Wicklow,County,Nov,2010,33
Carlow,County,Dec,2010,27
Cavan,County,Dec,2010,25
Clare,County,Dec,2010,42
Cork,County,Dec,2010,117
Donegal,County,Dec,2010,95
Dun Laoghaire,County,Dec,2010,15
Fingal,County,Dec,2010,33
Galway,County,Dec,2010,83
Kerry,County,Dec,2010,38
Kildare,County,Dec,2010,41
