Councils,Type,Months,Years,ESB_Connections
Wicklow,County,Jun,2006,132
Carlow,County,Jul,2006,158
Cavan,County,Jul,2006,308
Clare,County,Jul,2006,195
Cork,County,Jul,2006,702
Donegal,County,Jul,2006,350
Dun Laoghaire,County,Jul,2006,134
Fingal,County,Jul,2006,488
Galway,County,Jul,2006,470
Kerry,County,Jul,2006,375
Kildare,County,Jul,2006,510
Kilkenny,County,Jul,2006,111
Laois,County,Jul,2006,168
Leitrim,County,Jul,2006,130
Limerick,County,Jul,2006,253
Longford,County,Jul,2006,85
Louth,County,Jul,2006,279
Mayo,County,Jul,2006,273
Meath,County,Jul,2006,311
Monaghan,County,Jul,2006,75
North Tipperary,County,Jul,2006,121
Offaly,County,Jul,2006,108
Roscommon,County,Jul,2006,144
Sligo,County,Jul,2006,209
South Dublin,County,Jul,2006,158
South Tipperary,County,Jul,2006,118
Waterford,County,Jul,2006,143
Westmeath,County,Jul,2006,120
Wexford,County,Jul,2006,333
Wicklow,County,Jul,2006,101
Carlow,County,Aug,2006,141
Cavan,County,Aug,2006,199
Clare,County,Aug,2006,164
Cork,County,Aug,2006,592
Donegal,County,Aug,2006,276
Dun Laoghaire,County,Aug,2006,329
Fingal,County,Aug,2006,385
Galway,County,Aug,2006,274
Kerry,County,Aug,2006,343
Kildare,County,Aug,2006,281
Kilkenny,County,Aug,2006,167
Laois,County,Aug,2006,141
Leitrim,County,Aug,2006,54
Limerick,County,Aug,2006,197
Longford,County,Aug,2006,57
Louth,County,Aug,2006,207
Mayo,County,Aug,2006,215
Meath,County,Aug,2006,196
Monaghan,County,Aug,2006,92
North Tipperary,County,Aug,2006,80
Offaly,County,Aug,2006,85
Roscommon,County,Aug,2006,153
Sligo,County,Aug,2006,121
South Dublin,County,Aug,2006,262
South Tipperary,County,Aug,2006,166
Waterford,County,Aug,2006,79
Westmeath,County,Aug,2006,107
Wexford,County,Aug,2006,245
Wicklow,County,Aug,2006,181
Carlow,County,Sept,2006,96
Cavan,County,Sept,2006,237
Clare,County,Sept,2006,155
Cork,County,Sept,2006,630
Donegal,County,Sept,2006,328
Dun Laoghaire,County,Sept,2006,155
Fingal,County,Sept,2006,560
Galway,County,Sept,2006,380
Kerry,County,Sept,2006,321
Kildare,County,Sept,2006,532
Kilkenny,County,Sept,2006,155
Laois,County,Sept,2006,184
Leitrim,County,Sept,2006,140
Limerick,County,Sept,2006,226
Longford,County,Sept,2006,96
Louth,County,Sept,2006,179
Mayo,County,Sept,2006,258
Meath,County,Sept,2006,308
Monaghan,County,Sept,2006,128
North Tipperary,County,Sept,2006,160
Offaly,County,Sept,2006,138
Roscommon,County,Sept,2006,134
Sligo,County,Sept,2006,171
South Dublin,County,Sept,2006,167
South Tipperary,County,Sept,2006,102
Waterford,County,Sept,2006,113
Westmeath,County,Sept,2006,96
Wexford,County,Sept,2006,214
Wicklow,County,Sept,2006,140
Carlow,County,Oct,2006,142
Cavan,County,Oct,2006,203
Clare,County,Oct,2006,252
Cork,County,Oct,2006,810
Donegal,County,Oct,2006,475
Dun Laoghaire,County,Oct,2006,148
Fingal,County,Oct,2006,479
Galway,County,Oct,2006,357
Kerry,County,Oct,2006,408
Kildare,County,Oct,2006,371
Kilkenny,County,Oct,2006,186
Laois,County,Oct,2006,286
Leitrim,County,Oct,2006,100
Limerick,County,Oct,2006,360
Longford,County,Oct,2006,116
Louth,County,Oct,2006,144
Mayo,County,Oct,2006,258
Meath,County,Oct,2006,340
Monaghan,County,Oct,2006,110
North Tipperary,County,Oct,2006,118
Offaly,County,Oct,2006,232
Roscommon,County,Oct,2006,211
Sligo,County,Oct,2006,224
South Dublin,County,Oct,2006,204
South Tipperary,County,Oct,2006,210
Waterford,County,Oct,2006,131
Westmeath,County,Oct,2006,162
Wexford,County,Oct,2006,344
Wicklow,County,Oct,2006,181
Carlow,County,Nov,2006,182
Cavan,County,Nov,2006,259
Clare,County,Nov,2006,296
Cork,County,Nov,2006,900
Donegal,County,Nov,2006,503
Dun Laoghaire,County,Nov,2006,162
Fingal,County,Nov,2006,623
Galway,County,Nov,2006,437
Kerry,County,Nov,2006,444
Kildare,County,Nov,2006,381
Kilkenny,County,Nov,2006,228
Laois,County,Nov,2006,224
Leitrim,County,Nov,2006,222
Limerick,County,Nov,2006,293
Longford,County,Nov,2006,169
Louth,County,Nov,2006,227
Mayo,County,Nov,2006,322
Meath,County,Nov,2006,348
Monaghan,County,Nov,2006,103
North Tipperary,County,Nov,2006,152
Offaly,County,Nov,2006,196
Roscommon,County,Nov,2006,232
Sligo,County,Nov,2006,309
South Dublin,County,Nov,2006,451
South Tipperary,County,Nov,2006,156
Waterford,County,Nov,2006,192
Westmeath,County,Nov,2006,220
Wexford,County,Nov,2006,308
Wicklow,County,Nov,2006,220
Carlow,County,Dec,2006,60
Cavan,County,Dec,2006,219
Clare,County,Dec,2006,213
Cork,County,Dec,2006,705
Donegal,County,Dec,2006,357
Dun Laoghaire,County,Dec,2006,204
Fingal,County,Dec,2006,543
Galway,County,Dec,2006,443
Kerry,County,Dec,2006,405
Kildare,County,Dec,2006,437
Kilkenny,County,Dec,2006,160
Laois,County,Dec,2006,186
Leitrim,County,Dec,2006,85
Limerick,County,Dec,2006,293
Longford,County,Dec,2006,225
Louth,County,Dec,2006,272
Mayo,County,Dec,2006,321
Meath,County,Dec,2006,324
Monaghan,County,Dec,2006,143
North Tipperary,County,Dec,2006,144
Offaly,County,Dec,2006,141
Roscommon,County,Dec,2006,260
Sligo,County,Dec,2006,98
South Dublin,County,Dec,2006,241
South Tipperary,County,Dec,2006,172
Waterford,County,Dec,2006,116
Westmeath,County,Dec,2006,179
Wexford,County,Dec,2006,310
Wicklow,County,Dec,2006,164
